talent_name,alias
姫森ルーナ,himemori-luna
姫森ルーナ,himemori luna
姫森ルーナ,ルーナ
姫森ルーナ,luna
雪花ラミィ,雪花ラミィ
雪花ラミィ,yukihana-lamy
雪花ラミィ,yukihana lamy
雪花ラミィ,ラミィ
雪花ラミィ,lamy
桃鈴ねね,桃鈴ねね
桃鈴ねね,momosuzu-nene
桃鈴ねね,momosuzu nene
桃鈴ねね,ねね
桃鈴ねね,nene
獅白ぼたん,獅白ぼたん
獅白ぼたん,shishiro-botan
獅白ぼたん,shishiro botan
獅白ぼたん,ぼたん
獅白ぼたん,botan
尾丸ポルカ,尾丸ポルカ
尾丸ポルカ,omaru-polka
尾丸ポルカ,omaru polka
尾丸ポルカ,ポルカ
尾丸ポルカ,polka
ラプラス・ダークネス,ラプラス・ダークネス
ラプラス・ダークネス,la-darknesss
ラプラス・ダークネス,la darknesss
ラプラス・ダークネス,ラプラス
ラプラス・ダークネス,laplus
ラプラス・ダークネス,la+
ラプラス・ダークネス,la+ darknesss
鷹嶺ルイ,鷹嶺ルイ
鷹嶺ルイ,takane-lui
鷹嶺ルイ,takane lui
鷹嶺ルイ,ルイ
鷹嶺ルイ,lui
博衣こより,博衣こより
博衣こより,hakui-koyori
博衣こより,hakui koyori
博衣こより,こより
博衣こより,koyori
沙花叉クロヱ,沙花叉クロヱ
沙花叉クロヱ,sakamata-chloe
沙花叉クロヱ,sakamata chloe
沙花叉クロヱ,クロヱ
沙花叉クロヱ,chloe
風真いろは,風真いろは
風真いろは,kazama-iroha
風真いろは,kazama iroha
風真いろは,いろは
風真いろは,iroha
アユンダ・リス,アユンダ・リス
アユンダ・リス,ayunda-risu
アユンダ・リス,ayunda risu
アユンダ・リス,リス
アユンダ・リス,risu
ムーナ・ホシノヴァ,ムーナ・ホシノヴァ
ムーナ・ホシノヴァ,moona-hoshinova
ムーナ・ホシノヴァ,moona hoshinova
ムーナ・ホシノヴァ,ムーナ
ムーナ・ホシノヴァ,moona
アイラニ・イオフィフティーン,アイラニ・イオフィフティーン
アイラニ・イオフィフティーン,airani-iofifteen
アイラニ・イオフィフティーン,airani iofifteen
アイラニ・イオフィフティーン,イオフィ
アイラニ・イオフィフティーン,iofi
アイラニ・イオフィフティーン,iofifteen
クレイジー・オリー,クレイジー・オリー
クレイジー・オリー,kureiji-ollie
クレイジー・オリー,kureiji ollie
クレイジー・オリー,オリー
クレイジー・オリー,ollie
アーニャ・メルフィッサ,アーニャ・メルフィッサ
アーニャ・メルフィッサ,anya-melfissa
アーニャ・メルフィッサ,anya melfissa
アーニャ・メルフィッサ,アーニャ
アーニャ・メルフィッサ,anya
アーニャ・メルフィッサ,melfissa
パヴォリア・レイネ,パヴォリア・レイネ
パヴォリア・レイネ,pavolia-reine
パヴォリア・レイネ,pavolia reine
パヴォリア・レイネ,レイネ
パヴォリア・レイネ,reine
ベスティア・ゼータ,ベスティア・ゼータ
ベスティア・ゼータ,vestia-zeta
ベスティア・ゼータ,vestia zeta
ベスティア・ゼータ,ゼータ
ベスティア・ゼータ,zeta
カエラ・コヴァルスキア,カエラ・コヴァルスキア
カエラ・コヴァルスキア,kaela-kovalskia
カエラ・コヴァルスキア,kaela kovalskia
カエラ・コヴァルスキア,カエラ
カエラ・コヴァルスキア,kaela
カエラ・コヴァルスキア,kovalskia
こぼ・かなえる,こぼ・かなえる
こぼ・かなえる,kobo-kanaeru
こぼ・かなえる,kobo kanaeru
こぼ・かなえる,こぼ
こぼ・かなえる,kobo
こぼ・かなえる,kanaeru
森カリオペ,森カリオペ
森カリオペ,mori-calliope
森カリオペ,mori calliope
森カリオペ,カリオペ
森カリオペ,calliope
森カリオペ,calli
小鳥遊キアラ,小鳥遊キアラ
小鳥遊キアラ,takanashi-kiara
小鳥遊キアラ,takanashi kiara
小鳥遊キアラ,キアラ
小鳥遊キアラ,kiara
一伊那尓栖,一伊那尓栖
一伊那尓栖,ninomae-inanis
一伊那尓栖,ninomae inanis
一伊那尓栖,イナ
一伊那尓栖,ina
一伊那尓栖,inanis
一伊那尓栖,ina'nis
がうる・ぐら,がうる・ぐら
がうる・ぐら,gawr-gura
がうる・ぐら,gawr gura
がうる・ぐら,ぐら
がうる・ぐら,gura
ワトソン・アメリア,ワトソン・アメリア
ワトソン・アメリア,watson-amelia
ワトソン・アメリア,watson amelia
ワトソン・アメリア,アメリア
ワトソン・アメリア,amelia
ワトソン・アメリア,ame
IRyS,IRyS
IRyS,アイリス
セレス・ファウナ,セレス・ファウナ
セレス・ファウナ,ceres-fauna
セレス・ファウナ,ceres fauna
セレス・ファウナ,ファウナ
セレス・ファウナ,fauna
オーロ・クロニー,オーロ・クロニー
オーロ・クロニー,ouro-kronii
オーロ・クロニー,ouro kronii
オーロ・クロニー,クロニー
オーロ・クロニー,kronii
七詩ムメイ,七詩ムメイ
七詩ムメイ,nanashi-mumei
七詩ムメイ,nanashi mumei
七詩ムメイ,ムメイ
七詩ムメイ,mumei
ハコス・ベールズ,ハコス・ベールズ
ハコス・ベールズ,hakos-baelz
ハコス・ベールズ,hakos baelz
ハコス・ベールズ,ベールズ
ハコス・ベールズ,baelz
ハコス・ベールズ,bae
シオリ・ノヴェラ,シオリ・ノヴェラ
シオリ・ノヴェラ,shiori-novella
シオリ・ノヴェラ,shiori novella
シオリ・ノヴェラ,シオリ
シオリ・ノヴェラ,novella
古石ビジュー,古石ビジュー
古石ビジュー,koseki-bijou
古石ビジュー,koseki bijou
古石ビジュー,ビジュー
古石ビジュー,bijou
古石ビジュー,biju
ネリッサ・レイヴンクロフト,ネリッサ・レイヴンクロフト
ネリッサ・レイヴンクロフト,nerissa-ravencroft
ネリッサ・レイヴンクロフト,nerissa ravencroft
ネリッサ・レイヴンクロフト,ネリッサ
ネリッサ・レイヴンクロフト,nerissa
ネリッサ・レイヴンクロフト,ravencroft
フワワ・アビスガード,フワワ・アビスガード
フワワ・アビスガード,fuwawa-abyssgard
フワワ・アビスガード,fuwawa abyssgard
フワワ・アビスガード,フワワ
フワワ・アビスガード,fuwawa
フワワ・アビスガード,fuwamoco
フワワ・アビスガード,abyssgard
モココ・アビスガード,モココ・アビスガード
モココ・アビスガード,mococo-abyssgard
モココ・アビスガード,mococo abyssgard
モココ・アビスガード,モココ
モココ・アビスガード,mococo
モココ・アビスガード,fuwamoco
火威青,火威青
火威青,hiodoshi-ao
火威青,hiodoshi ao
火威青,青
音乃瀬奏,音乃瀬奏
音乃瀬奏,otonose-kanade
音乃瀬奏,otonose kanade
音乃瀬奏,奏
音乃瀬奏,kanade
一条莉々華,一条莉々華
一条莉々華,ichijou-ririka
一条莉々華,ichijou ririka
一条莉々華,莉々華
一条莉々華,ririka
儒烏風亭らでん,儒烏風亭らでん
儒烏風亭らでん,juufuutei-raden
儒烏風亭らでん,juufuutei raden
儒烏風亭らでん,らでん
儒烏風亭らでん,raden
轟はじめ,轟はじめ
轟はじめ,todoroki-hajime
轟はじめ,todoroki hajime
轟はじめ,はじめ
轟はじめ,hajime
エリザベス・ローズ・ブラッドフレイム,エリザベス・ローズ・ブラッドフレイム
エリザベス・ローズ・ブラッドフレイム,elizabeth-rose-bloodflam
エリザベス・ローズ・ブラッドフレイム,elizabeth rose bloodflam
エリザベス・ローズ・ブラッドフレイム,エリザベス
エリザベス・ローズ・ブラッドフレイム,elizabeth
エリザベス・ローズ・ブラッドフレイム,elizabeth rose
エリザベス・ローズ・ブラッドフレイム,bloodflame
エリザベス・ローズ・ブラッドフレイム,bloodflam
ジジ・ムリン,ジジ・ムリン
ジジ・ムリン,gigi-murin
ジジ・ムリン,gigi murin
ジジ・ムリン,ジジ
ジジ・ムリン,gigi
ジジ・ムリン,murin
セシリア・イマーグリーン,セシリア・イマーグリーン
セシリア・イマーグリーン,cecilia-immergreen
セシリア・イマーグリーン,cecilia immergreen
セシリア・イマーグリーン,セシリア
セシリア・イマーグリーン,cecilia
セシリア・イマーグリーン,immergreen
ラオーラ・パンテーラ,ラオーラ・パンテーラ
ラオーラ・パンテーラ,raora-panthera
ラオーラ・パンテーラ,raora panthera
ラオーラ・パンテーラ,ラオーラ
ラオーラ・パンテーラ,raora
ラオーラ・パンテーラ,panthera
響咲リオナ,響咲リオナ
響咲リオナ,isaki-riona
響咲リオナ,isaki riona
響咲リオナ,リオナ
響咲リオナ,riona
虎金妃笑虎,虎金妃笑虎
虎金妃笑虎,koganei-niko
虎金妃笑虎,koganei niko
虎金妃笑虎,ニコ
虎金妃笑虎,niko
水宮枢,水宮枢
水宮枢,mizumiya-su
水宮枢,mizumiya su
水宮枢,枢
輪堂千速,輪堂千速
輪堂千速,rindo-chihaya
輪堂千速,rindo chihaya
輪堂千速,千速
輪堂千速,chihaya
綺々羅々ヴィヴィ,綺々羅々ヴィヴィ
綺々羅々ヴィヴィ,kikirara-vivi
綺々羅々ヴィヴィ,kikirara vivi
綺々羅々ヴィヴィ,ヴィヴィ
綺々羅々ヴィヴィ,vivi
